"","Value","Std. Error","t value","Pr(>|t|)"
"intercept",-0.177839239695391,0.0888065895015175,-2.00254553962296,0.0452517630151743
"post",0.0501067246132921,0.0362216395803993,1.38333673444221,0.166591058381024
"SmallFund",-0.267416363884008,0.0391586390088133,-6.82905153633713,9.02078411968432e-12
"MoreExperience",-0.0358293956483787,0.0350680447463055,-1.02171067442115,0.306941403143838
"S_P_500_Qtrly_Return",0.128380577791388,0.0771409925501818,1.6642329006575,0.0960957427453835
"S_P_500_Qtrly_Return_l3",0.167672930778907,0.0670540266157395,2.50056468256224,0.0124146731540344
"Fourthqtr",0.0248571687391726,0.0111244513540682,2.23446244205853,0.0254736259260735
"firmyr.1",0.00297149534052446,0.0756961011819223,0.0392555930110983,0.968687357474805
"firmyr.2",-0.0329565915937383,0.0827161867274582,-0.398429774118179,0.690321517792108
"firmyr.3",-0.0674909254366888,0.0880283835086329,-0.766695044787117,0.443280092473965
"firmyr.4",-0.0743895116071227,0.0910483544235731,-0.817033015896691,0.413928103034706
"firmyr.5",-0.0773056233601554,0.0876121960935794,-0.882361438327428,0.377601586859443
"firmyr.6",-0.0604257178688289,0.0889397563708998,-0.679400532837524,0.496899092827134
"firmyr.7",-0.0696861065177319,0.0891223435806983,-0.781915103642138,0.434282104303096
"firmyr.8",-0.0753398861073874,0.0904799553855883,-0.832669355177286,0.405050175883305
"firmyr.9",-0.0923416828958793,0.0898942489661553,-1.0272257008415,0.304337868379371
"firmyr.10",-0.0950547417878517,0.0897839556802014,-1.05870521150153,0.289758414956096
"post:SmallFund",0.0405303194197677,0.0730517865870065,0.554816265465254,0.579032161701084
"post:MoreExperience",0.0021988808968366,0.0500664638393695,0.0439192371143161,0.964969616472603
"post:S_P_500_Qtrly_Return",-0.0892736130719035,0.108060216365417,-0.826146902852904,0.408739540631559
"post:S_P_500_Qtrly_Return_l3",-0.068682264987872,0.0910680737494277,-0.754185985934544,0.450754468967208
"post:Fourthqtr",-0.00777434316217666,0.017332151799436,-0.448550373441205,0.653765298722578
